Description,Type
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"Can't access objective.

",Others
"problem accessing Paris Browser system

Morning,

Please see error whilst trying to access the PARIS payment system,

[cid:image001.png@01D2CFBA.F0F76EE0]

________________________________
",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Colour invert

",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Re: Mailbox access

Approved by me
Thanks


On 17 May 2017, at 12:09, White, Rachel <Rachel.White@highpeak.gov.uk<mailto:Rachel.White@highpeak.gov.uk>> wrote:

Good morning

Please could I get full access to the following mailboxes?

counciltax@highpeak.gov.uk<mailto:counciltax@highpeak.gov.uk>
revenues@highpeak.gov.uk<mailto:revenues@highpeak.gov.uk>
revenues@staffsmoorlands.gov.uk<mailto:revenues@staffsmoorlands.gov.uk>

I have copied my Manager and the CTax Manager in to this ",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Citrix Receiver

",Others
"ilap Issues

",Others
"Mitel Telephone Issues

",Others
"short cut for the epithaph



Hi Northgate

I put a shortcut to the epitaph system on my desk top and when the computer is switched off it disappears so each time I log on I have to create a new short cut please advise

thanks

[cid:image001.png@01D2CF1F.7C3AA680]
M Jayne Woolliscroft
Technical Support Officer – Operational Services
Staffordshire Moorlands District Council and High Peak Borough Council
www.staffsmoorlands.gov.uk<http://www.staffsmoorlands.gov.uk/>    www.highpeak.g",Others
"Unexpected System shutdown

User phoned to say that the system has just shutdown and now it wont accept her details.

ASSET - SMDC0213

Tel: ext 5974",Others
"Mitel phone not forwarding

",Others
"Wyse System crashed out.

",Others
"""Missed Bin"" form not working on Self Serve machines

",Others
"Printers

Hi – I’m currently on a PC and need to access the printer in the benefit hub at Leek – however I am unable to access the printer required.

Please could you look at for me.
Thanks
Ange

Angela Sherratt

Senior Benefits Officer

Benefit Service
High Peak Borough Council and Staffordshire Moorlands District Council

Correspondence Address:
PO Box 136
Buxton
SK17 1AQ

• 0345 129 7777 (High Peak) 01538 395 400 (Staffordshire Moorlands)  ext 4079

Mobile: 07800 791149",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Access to Outlook Account

Hi,

Can you please arrange for me to have permission to send emails and change appointments when using the Member Diary Outlook account please (I can currently view this account)?

Thanks

Linden

Linden Vernon
Senior Officer (Governance & Member Support)
Democratic and Community Services
High Peak Borough Council & Staffordshire Moorlands District Council
Email: linden.vernon@highpeak.gov.uk<mailto:linden.vernon@highpeak.gov.uk> or linden.vernon@staffsm",Others
"Printer not working

",Others
"Log a call

Hi,
Please could you log a problem with both the video conferencing facilities at Buxton Town Hall, the onsite engineers, Peter and Andrew have been out and sorted out the problems with both.
 Thanks

Julie

Julie Fawkes
Mayor's Secretary and Personal Assistant to Dai Larner, Executive Director (Place)
High Peak Borough Council / Staffordshire Moorlands District Council
P O Box 136
Buxton
Derbyshire
SK17 1AQ

•  0345 129 77 77 ext. 2016


__________________________",Others
"""internal Server error""

",Others
"RE: OPTI-TIME ISSUES

Hi Matt,

I have just restarted my computer after receiving your email, and everything seems to be working as it should be.

Thank you for your help on this matter.

Kind regards

Claire Shrimpton
Technical Support Officer
Tel: 0345 129 8075 ext 6504
Email: claire.shrimpton@highpeak.gov.uk<mailto:claire.shrimpton@highpeak.gov.uk>




From: Matt Elvy [mailto:matt.elvy@kirona.com]
Sent: 17 May 2017 11:26
To: Shrimpton, Claire
Cc: Kemp, Nicola; Sollis, Mar",Others
"FW: OPTI TIME & OHMS

Morning,

The jobs are not being dispatched out to the operatives any longer, so I am going to have some of them hanging around waiting for work, until the system is back up and running.

Kind regards

Claire Shrimpton
Technical Support Officer
Tel: 0345 129 8075 ext 6504
Email: claire.shrimpton@highpeak.gov.uk<mailto:claire.shrimpton@highpeak.gov.uk>


From: Shrimpton, Claire
Sent: 17 May 2017 08:53
To: ithelp
Cc: Kemp, Nicola; Sollis, Martin; Howard, Rich",Others
"Mobile Issues

",Others
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"Log in

Please can I have help logging into my computer

Many thanks

Roseann Worthington
Electoral Services
0345 129 7777 x2039


________________________________
",Others
"Internet/Intranet Issues. 

",Others
"URGENT - Zip File Issues.

",Others
" I am having difficulty with the  neighbourhoods generic inbox

hi

please can you look into my permissions for the neighbourhood inbox , I am having difficulty with the  neighbourhoods generic inbox. It will only allow me to read and not allow me to forward an email or tick to say work is  completed.

Many Thanks
Liam Bentley
Housing Assistant
High Peak Borough Council
0345 129 8075 ext 6513



________________________________
",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Profile issues

",Others
"OPTI TIME & OHMS

Morning,

There seems to be an issue with jobs not pulling through to opti time from OHMS, also when I am trying to plan jobs in on an operatives calendar, it gets so far and throws me out of opti time completely. I have restarted opti & my PC to see if this would resolve the issue, but it doesn’t seem to have helped.

Can this be looked at as a priority please, as I am not able to plan jobs in, and I am working on my own.

Kind regards

Claire Shrimpton
Technical Su",Others
"Netcool event for High Peak DC: [HP-Eccles-Fold]


Description: [17/5/2017 0:48:57] -  Node is Down

Department: Network Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Problems with works mobile phone

Hi,

I’m experiencing problems with my work’s mobile phone at the moment.  This includes:


·         Calls cutting off part way through conversations

·         Battery running out without notice

·         Light switching on by itself

·         Airplane mode switching on by itself

·         Wifi switching off by itself

Can this be looked into please?

Thanks

Linden

Linden Vernon
Senior Officer (Governance & Member Support)
Democra",Others
"Caller is trying to access www.tmgroup.co.uk - however when logging in using IE, is just getting a grey screen for a few seconds and then goes back to login, does not log user in, no error message

Peter Edwards has added this to the filter but June is still having the same issue. Please can this be revistied.

",Others
"Netcool event for High Peak DC: [ICT-PROFILE-1]


Description: [16/5/2017 15:59:24] -  Logical Disk E: 97 Percent, 3161 Mbytes free, 107376 Mbytes Total 

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Website access

Hello Northgate,

I’ve been trying to access a bt website in order to undertake a utility check. Previously the website has been available via google search etc but now it is saying  that Internet Explorer cannot display the webpage.

The page address is:

www.swns.bt.com/pls/mbe<http://www.swns.bt.com/pls/mbe>

Can you shed any light on this?

Thanks,


Philip Wiggans
Technical Officer - Operational Services
High Peak Borough Council & Staffordshire Moorlands Di",Others
"Netcool event for High Peak DC: [HP-BX-PavillionGardens-01]


Description: [16/5/2017 13:38:3] -  Node is Down

Department: Network Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"issues with opening html files.

",Others
"Website - iLAP Planning Public Access Notifications on Comments to Individuals

Hi

Please can you turn off all internal notifications on the planning public access web pages when a public comment is made to notify individuals.  (This may require being passed to iLAP support).


-          When a person makes a comment on an application, certain Planning Officers receive an additional notification that a comment has been made as they are allocated that planning application – previously so",Others
"Customers account was locked, Unlocked account and customer can now access fine.",Lockouts
"Undelivered Email

I have sent an email and it has returned with the following due to security policy !!!!

As far as I’m aware the email address is correct.

Thanks

Karl

Karl Birch
Benefits Officer
Staffordshire Moorlands District Council
and High Peak Borough Council

01538 395400 (ext 5923)
www.staffsmoorlands.gov.uk<http://www.staffsmoorlands.gov.uk/> www.highpeak.gov.uk<http://www.highpeak.gov.uk/>




From: postmaster@Staffshousing.org.uk [mailto:postmaster@Staffshou",Others
"Internet Error

Hello,

The below error is preventing me from updating on the Internet

I have checked with Emma and there are no apparent issues but it just seems to be me having issues – Can you please help?

Thank you
Donna

[cid:image001.png@01D2CE34.147CF340]

________________________________
",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Windows Account Issues

",Others
Tablet requesting system restore.,Others
"7-zip has disappeared from her machine

",Others
"
",Others
"Network Login for Helen Gale

Hi,

Helen Gale is having problems with her network log in.  The password has been changed earlier today - this worked okay initially but when trying to access the intranet a dialogue box appeared asking Helen for her network password which the system wouldn’t accept.  Her login has now been locked.  Can this be rectified as soon as possible please?

Thanks

Linden

Linden Vernon
Senior Officer (Governance & Member Support)
Democratic and Community Servi",Others
"Telephony Issues

",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Infomaker Access

Hi

I am again unable to access Infomaker from my laptop at home. I am getting the message about the licence again. I’ve had this at least 3 times now. I’ve tried loading the licence that is in my C drive as Peter showed me previously but it doesn’t work. It says the development environment will shut down and the licence I’ve used will be on the next run but it goes back to the beginning again. See screen shots below. This happened when Peter tried it for me as well. Please",Others
"Customers account was locked

User working from home on XP desktop.

Unlocked account and customer can now access fine, closing call",Lockouts
"Issue with Contact Centre2 mail box

Hello,

There’s an email (autoreply from Sanctuary Housing) that keeps returning to the Contact Centre 2 mail box.

Can this be stopped/deleted please?

Thanks

Clare

Clare Brookes
Customer Services Supervisor
High Peak Borough Council & Staffordshire Moorlands District Council

Tel: 0345 605 3010  Ext: 5937

Email. clare.brookes@staffsmoorlands.gov.uk<mailto:clare.brookes@staffsmoorlands.gov.uk>

[Ican logo for ppt]
www.highpeak.gov.uk<",Others
"Service Request 3181868

I fear that updating the system might have caused a return to our problems with Java.  I can’t get into Objective this morning.  I was OK at the end of last week.

[cid:image001.png@01D2CD6D.6E0730A0]
Joanna Bagnall
Regeneration Service
High Peak Borough Council and Staffordshire Moorlands District Council

Tel: 01298 28400 ext. 3704
Mobile: 07814 563 526

Joanna.bagnall@highpeak.gov.uk<mailto:Joanna.bagnall@highpeak.gov.uk> and Joanna.bagnall@staffsmoorlands",Others
"Urgent Card Machine Down

",Others
"
Telephone Issues

",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"AD Account lock out 

Cllr Locked Account

Hi,

The network login for HPBC Cllr Jim Perkins is locked out – can this be re-activated please?

Thanks

Linden

Linden Vernon
Senior Officer (Governance & Member Support)
Democratic and Community Services
High Peak Borough Council & Staffordshire Moorlands District Council
Email: linden.vernon@highpeak.gov.uk<mailto:linden.vernon@highpeak.gov.uk> or linden.vernon@staffsmoorlands.gov.uk<mailto:linden.vernon@staffsmoorlands.gov.uk>
Tel",Lockouts
"Profile issue 

Hi,

I Have logged onto a terminal in the Buxton Town Hall and none of my applications/documents have shown up, I usually work from Leek , Please can a job be raised to look into this so if I work from the town hall I will have access to all my documents.

If you need to contact me today I can be contacted on EXT 5927.

Kind Regards

Suzy Gouveia
Customer Services Advisor (Benefits)
High Peak Bourough Council & Staffordshire Moorlands District Council
Tel: 01298 2840",Others
"Unable to log in

",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Urgent 

User unable to access a secure site. she get the error

server 500 internal server error, there is a problem with resource that you are looking for, smartproof.adaer.com

Tel: 01298 28400 ext 2133

at Leek Moorlands House

She has accessed the link before

Department: Elections
[INCIDENT TITLE]

",Others
"Password reset, customer can now log in

Closing Call",Lockouts
"Mobile phone - account settings out of date

Hi

I am unable to update my account settings – could you advise.

thanks

Darren Wood
Geographic and Specialist Service Lead
Staffordshire Moorlands District Council &
High Peak Borough Council
Fowlchurch Depot
Leek
ST13 6BH
email  darren.wood@staffsmoorlands.gov.uk<mailto:darren.wood@staffsmoorlands.gov.uk>
tel  - 01538395400 ext 4417
mob – 07794 768519


________________________________
",Others
"ESeries/Integra Processess not Running

Hi, The services/servers have stopped running in Integra – could you please restart them,

Thanks

Dawn



________________________________
",Others
"Ilap HPBC

My ILAP for hpbc wont allow me to go on. I havent changed my password and I have asked hayley and she says that im not showing on the system to be unlocked and maybe its something to do with IT. My SMDC ILAP is working fine.

This is what its showing-

[cid:image001.png@01D2CB28.FC946640]
If you require any further assistance please do not hesitate to contact us.

Yours Sincerely

Beth

Customer Services
Planning Support
High Peak Borough Council
Town Hall
Market Plac",Others
"
UNABLE TO SCAN TO FOLDER

",Others
"

Linda Gregory
Buxton Town Hall


Reception
The scanning maching is showing a warning X day in month invalid (81)

So we are unable to scann documents please pass to Andrew Hopkins I have already spoken with him & he will come & have a look

Thank You

________________________________
",Others
"Netcool event for High Peak DC: [ICT-DR-1]


Description: [11/5/2017 16:8:29] -  Windows EMS_AGT Heart Beat Failure

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [HPBC-BACKUP-2]


Description: [12/5/2017 9:28:20] -  System Log Error iScsiPrt:Initiator failed to connect to the target. Target IP address and TCP Port number are given in dump data. 

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [HPBC-BACKUP-2]


Description: [12/5/2017 9:28:20] -  NOTICE: Windows Service EHCMService (EqualLogic Host Connection Management Service) is in a STOPPED status where previously it was in a RUNNING status.

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [STAL-ORACLE-1]


Description: [12/5/2017 8:48:38] -  NOTICE: Windows Service HP StorageWorks VSS Hardware Provider (HP StorageWorks VSS Hardware Provider) is in a STOPPED status where previously it was in a RUNNING status.

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [STAL-ORACLE-1]


Description: [12/5/2017 8:38:24] -  NOTICE: Windows Service HP StorageWorks VSS Hardware Provider (HP StorageWorks VSS Hardware Provider) is in a STOPPED status where previously it was in a RUNNING status.

Description: [12/5/2017 8:48:38] -  NOTICE: Windows Service HP StorageWorks VSS Hardware Provider (HP StorageWorks VSS Hardware Provider) is in a STOPPED status where previously it was in a RUNNING status.

Department: MS Server Team
",Others
"SMDC automated payment line - not connecting

I have just rang the SMDC automated payment line number - 0345 605 3016 – twice, within the last half an hour, and the line just rang out – it did not connect to make a payment.

Regards
Nikki Jones

Transformation Project Officer
Organisational Development and Transformation
High Peak Borough Council and Staffordshire Moorlands District Council

Nikki.Jones@highpeak.gov.uk<mailto:Nikki.Jones@highpeak.gov.uk>

07976 753430
0345 129 7777",Others
"Outlook Issues - Mailboxes Missing

",Others
"ZIP File Issues. 

",Others
"Netcool event for High Peak DC: [ICT-DR-1]


Description: [11/5/2017 14:2:10] -  Logical Disk C: 99 Percent, 151 Kbytes Free, 73372459 KBytes Used, 73372610 Total KBytes :

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Flare change required

Hello Northgate Service Desk,

Please find attached  a Flare change form.

Kind Regards,

Jane Cooper BSc (hons) MCIEH
Environmental Health Officer

Tel: 0345 129 7777
Mob: 07814 969 967
E-mail: jane.cooper@highpeak.gov.uk<mailto:jane.cooper@highpeak.gov.uk>

Environmental Health
High Peak Borough Council
Buxton Town Hall
Buxton
Derbyshire
SK17 6EL

My normal working hours are Monday to Friday. If you require an urgent response please contact the Call",Others
"Customers account was locked

Unlocked account and reset password -  customer can now access fine",Lockouts
"Card machine not working

",Others
"PARIs database

Good morning
I have had the following message several times this morning when making amendments to the Suspense Clearings table in the database

The communication object, System.ServiceModel.Channels.ServiceChannel, cannot be used for communication because it is in the Faulted state

Please will you investigate
Thanks
Christine

Christine Green
Senior Finance Technician
Finance & Procurement
High Peak Borough Council and Staffordshire Moorlands District Council
Chr",Others
"Email permissions

I am unable to send emails from benefits@staffsmoorlands.gov.uk<mailto:benefits@staffsmoorlands.gov.uk>, I do not have the correct permissions.

Chris Foster
Benefits Technical Officer, Benefits Service
Staffordshire Moorlands District Council and High Peak Borough Council
PO Box 136, Buxton SK17 1AQ
T: 01538 395400 Ext 4081
Email: chris.foster@staffsmoorlands.gov.uk
GCSx: gc_chris.foster@highpeak.gcsx.gov.uk


________________________________
Do you really need ",Others
"RE: Buxton Hot desk Dual Screen - temp set up

Sorry…. room 110.  Thanks Shirley!

From: Mamczur, Shirley On Behalf Of Generic, Central Admin
Sent: 11 May 2017 10:34
To: Jones, Nikki; ithelp
Cc: Generic, Central Admin
Subject: RE: Buxton Hot desk Dual Screen - temp set up

Hi

I think this should be Room 110

Thanks
Shirley


From: Jones, Nikki
Sent: 11 May 2017 10:25
To: ithelp
Cc: Generic, Central Admin
Subject: Buxton Hot desk Dual Screen - temp set up

Morning

Plea",Others
"RE: Buxton Hot desk Dual Screen - temp set up

Hi

I think this should be Room 110

Thanks
Shirley


From: Jones, Nikki
Sent: 11 May 2017 10:25
To: ithelp
Cc: Generic, Central Admin
Subject: Buxton Hot desk Dual Screen - temp set up

Morning

Please can I log a job for –

the dual screen on desk 11 in room 111 Buxton

to be set up on

desks 30 in the revenues hot desk temporarily

from Friday 26/05/2017 to Friday 09/06/2017 (due to room 111 being used for elections)

",Others
"user phoned to say account is locked in ILap

Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"

Dear IT helpdesk

When I click on ‘calendar’ in Outlook it open’s my ‘C’ drive, can you help please?

Thanks


Paul Rushworth |Solicitor
Corporate Services Manager (Legal and Elections) and Deputy Monitoring Officer.
High Peak Borough Council and Staffordshire Moorlands District Council.
•:paul.rushworth@highpeak.gov.uk<mailto:paul.rushworth@highpeak.gov.uk>
':01538 395459
':07976 753236



________________________________
",Others
"[Alan called to report that he caanot access his folder on the apollo drive.]

",Others
"Telephone defunct

Hi,

My land line telephone has ceased to work for outgoing calls
The display screen on the telephone is distorted


MY TELEPHONE NUMBER  IS 01538 395577 EXT 4512


Mark Preece
Client Officer (Country Parks/ Ecology Advice)
Operational Services

Staffordshire Moorlands District Council       High Peak Borough Council
Stockwell Street                                                        Market Place
Leek                                                        ",Others
"Voicemail PIN Issues

",Others
"[email has gone in to spam that she needs to look at. elizabthe.north]

",Others
"Loc: Moorlands
dept: Finance
Dept: 4190

Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"RE: PERMISSIONS

Hi

Authority given to change access.

Thanks

Sandra

Sandra Grain
Senior Housing Officer
Staffordshire Moorlands District Council and High Peak Borough Council

T: 0345 605 3010
F: 01538 395474
E: sandra.grain@highpeak.gov.uk<mailto:sandra.grain@highpeak.gov.uk>

www.staffsmoorlands.gov.uk<http://www.staffsmoorlands.gov.uk/> or www.highpeak.gov.uk<http://www.highpeak.gov.uk/>


From: Henshall, Jane
Sent: 10 May 2017 14:15
To: ithelp
Cc: Sandra Grain
Su",Others
"Julie McCabe's tablet

Hi – I am dropping Julie McCabe’s tablet off tomorrow morning as she says it has a virus and needs to be cleaned up.  Not sure how long this takes?  She will be at Annual Council on Thursday night so if we are able to let her have it back then that would be helpful.

Thanks. Rachel

Rachel Rourke
Member Services Officer
High Peak Borough Council
Tel: 0345 129 7777 ex. 2139
(Hours of work: Mon – Fri until 3.15 p.m.)


________________________________
Do you re",Others
"Integra 2 Account Lockout

",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"X Drive Rioch

Hi,

Every time I go onto the X Drive – Planning  - Rioch, it keeps on freezing and therefore unable to move any documents. Please respond as soon as possible.

System: wise
Server: STAL-RDS-DT-2

Thanks,

Nathan

________________________________
",Others
"Loc: Moorlands house
dept: regen
tel: 4135

Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"U Drive Issues

",Others
"
Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Integra Issue

Hi,

Please can you assist with the issue I seem to be having, I have attached a screen shot of the issue.

Regards,

Chris.

Chris Ditchfield
Housing & Property Data Officer
High Peak Borough Council and Staffordshire Moorlands District Council
E: christopher.ditchfield@highpeak.gov.uk
Tel: 0345 129 7777 Ext 6509


________________________________
",Others
"RE: Saturdays

We are not doing anything on the system this weekend.

Thanks

Jo

From: Simon Berriman [mailto:simon.berriman@northgateps.com]
Sent: 09 May 2017 11:42
To: Bailey, Carolyn
Cc: ithelp; Berriman, Simon; Cooke, Chris; Duxbury, Joanne
Subject: Re: Saturdays

Hi Carolyn,

No work is scheduled that I am aware of unless any IBS patches need to be installed, these tend to be completed mid-week now though.



Regards


Simon Berriman

Service Delivery Manager


",Others
"Civica Open revenues - Verifying Risk on terminal server 4

All the assessors are now using Risk Based Verification.

This morning Megan has tried verify risk on a claim and she got an error that it could not connect to CoActiva.

Other Assessors have managed to verify risk but they are on a different server.

Megan is on 4 and the others are on 5.

Is there something on this server that is prevent us from connecting to CoActiva.

Thanks

Jo

Mrs J Duxbury

Benefits Technical O",Others
"RE: Northgate Public Services Customer Survey for Call 3187359

The link doesn’t work so I can’t complete the survey

From: ps_servicedesk@northgateps.com [mailto:ps_servicedesk@northgateps.com]
Sent: 09 May 2017 10:09
To: Yates, Andrea
Subject: Northgate Public Services Customer Survey for Call 3187359


Dear Andrea,

Recently you raised a call with us:

Call Number: 3187359
Type: Incident/Software Issue
Description: Restore deleted files

Hi,
I’ve just deleted a file in erro",Others
"RE: Northgate Public Services Customer Survey for Call 3117971

That’s fine.

Best regards

Paul

Paul Kelsall
Senior Officer
High Peak Borough Council

Pavilion Gardens
St Johns Rd
Buxton
SK17 6BE

Tel – 01298 23114            Internal Extension - 4697

paul.kelsall@highpeak.gov.uk

www.paviliongardens.co.uk<http://www.paviliongardens.co.uk/>

www.highpeak.gov.uk<http://www.highpeak.gov.uk/>




From: ps_servicedesk@northgateps.com [mailto:ps_servicedesk@northgateps.",Others
"ILAP - Error code 2

",Others
"Unable to print ....again

PC1083

I cannot print either from the PC or terminal server. Dianne Fern spent about an hour yesterday afternoon on this, but now it won’t work again.

Chris Foster
Benefits Technical Officer, Benefits Service
Staffordshire Moorlands District Council and High Peak Borough Council
PO Box 136, Buxton SK17 1AQ
T: 01538 395400 Ext 4081
Email: chris.foster@staffsmoorlands.gov.uk
GCSx: gc_chris.foster@highpeak.gcsx.gov.uk


________________________________
D",Others
"ZIP Facility

Dear IT

I seem to have lost the facility to Zip files and I use this on a daily basis.  I have tried getting on to different servers, but it seems to be the same on all of them.  Could this please be looked in to.

Jayne Owen had the same problem, this has now been rectified and Peter asked that I log a call for myself.

Thanks
Kelly

Kelly Mills
Building Control Support
High Peak Borough Council & Staffordshire Moorlands District Council
Town Hall
Market Place
Bux",Others
"Printer jamming

",Others
"Netcool event for High Peak DC: [HP-GL-SAN-ETH0]


Description: [9/5/2017 0:47:46] -  Node is Down

Department: Network Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [HP-GL-SAN-ETH1]


Description: [9/5/2017 0:47:28] -  Node is Down

Department: Network Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [HP-GL-SAN-ETH2]


Description: [9/5/2017 0:47:31] -  Node is Down

Department: Network Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [HP-GL-HPBC-01]


Description: [9/5/2017 0:46:48] -  Node is Down

Department: Network Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Description: [9/5/2017 0:46:59] -  Node is Down 

Netcool event for High Peak DC: [GL-SS1]
Netcool event for High Peak DC: [GL-SS2]
Netcool event for High Peak DC: [HPCH-GL-SS1]
Netcool event for High Peak DC: [HPCH-GL-SS2]
Netcool event for High Peak DC: [HP-GL-BC-01]
Netcool event for High Peak DC: [HP-GL-CH-01]
Netcool event for High Peak DC: [HP-GL-CH-02]
Netcool event for High Peak DC: [HP-GL-CoreSwitch01]
Netcool event for High Peak DC: [HP-GL-HPBC-01]
Netcool event for High Pea",Others
"Netcool event for High Peak DC: [HP-GL-CH-01]


Description: [9/5/2017 0:47:52] -  Node is Down

Department: Network Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [GL-SS2]


Description: [9/5/2017 0:47:42] -  Node is Down

Department: Network Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [HP-GL-BC-01]


Description: [9/5/2017 0:47:42] -  Node is Down

Department: Network Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [HP-GL-CoreSwitch01]


Description: [9/5/2017 0:45:53] -  Node is Down

Department: Network Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [HP-GL-SS2]


Description: [9/5/2017 0:47:41] -  Node is Down

Department: Network Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [HP-GL-SS1]


Description: [9/5/2017 0:46:58] -  Node is Down

Department: Network Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [HP-GL-CH-02]


Description: [9/5/2017 0:48:7] -  Node is Down

Department: Network Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [HPCH-GL-SS2]


Description: [9/5/2017 0:47:19] -  Node is Down

Department: Network Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [HPCH-GL-SS1]


Description: [9/5/2017 0:47:17] -  Node is Down

Department: Network Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [STAL-WEBSENSE-1]


Description: [8/5/2017 19:36:52] -  NOTICE: Windows Service NetTcpActivator (Net.Tcp Listener Adapter) is in a STOPPED status where previously it was in a RUNNING status.

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"iLap password reset

",Others
"Customers account was locked

Unlocked account and reset password - customer can now access fine",Lockouts
"Issue with  iLap

iLap keeps on crashing, severely delaying work flow.


________________________________
",Others
"Mobile phone not accepting password 

",Others
"CAG connection unstable after 11am 

Val outlines connectivity issues as the day goes on - she has been in touch with Virgin (broadband provider) but they have outilned no issue at their end.

we checked connection from ther remote workers and see their connection stable since 8am. indicates no issues with CAG access itself and likely end user machine.

suggested constant ping to other site to verify connection status but could not get ping response.  instead I suggested that Val immediate",Others
"Cllr Robins Tablet

Hi,

HPBC Cllr Daren Robins is experiencing problems accessing his Outlook account using his tablet computer (he can access this using webmail ok).  He will bring the tablet in for you to have a look at.

Regards

Linden

Linden Vernon
Senior Officer (Governance & Member Support)
Democratic and Community Services
High Peak Borough Council & Staffordshire Moorlands District Council
Email: linden.vernon@highpeak.gov.uk<mailto:linden.vernon@highpeak.gov.uk> or lind",Others
"IPADS, LEEK RECEPTION

Please can you look into this we need to offer the Ipads for self serve purposes

Thanks Carolyn

From: Harper, Suzanne
Sent: 08 May 2017 11:17
To: Customer Service Seniors
Subject: IPADS, LEEK RECEPTION

JUST TO LET YOU KNOW THEY ARE NOT WORKING AGAIN! STATING CAN’T CONNECT TO THE INTERNET. THE OTHER PC’S ARE FINE, THANKFULLY. I HAVE REPORTED IT THROUGH.

THANKS
SUZ


________________________________
",Others
"Paris Natwest Download

Hi, I import the Nat West bank file into Paris and it usually takes a minute.  Over the last two weeks I have tried to upload the file and it has failed ( HP only SM runs in OK) As soon as I press ‘run’ I get the message at the top of the screen saying ‘not responding’.


The screen shot below shows this – for today’s file.  I set it running at 09:53 and has just ran in at 10:07,

I wonder if the ‘Malware’ programme that was installed on my PC has affected this? ….",Others
"FW: Update of Incident : 610580 Your Reference : {}

Can you please run the SQL below (after 'below as a workaround')?

        Thanks
                Steve

-----Original Message-----
From: selfservice@capita.co.uk [mailto:selfservice@capita.co.uk]
Sent: 05 May 2017 17:23
To: Robinson, Stephen
Subject: Update of Incident : 610580 Your Reference : {}

Dear Steve

This is an confirmation email to let you know that Incident 610580 has been updated by PETER_DUFFY.

Product/Option :",Others
"Printer error

Hello

I have been printing to the Buxton print function 1 printer all morning, when I go to get the printout from the machine it is saying storing errors occurred.  Please can someone look at it asap?

Many thanks

Roseann Worthington
Electoral Services
0345 129 7777 x2039


________________________________
",Others
"Wyse terminal not switching on

",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Customers account was locked

Unlocked account and changed password and customer can now access fine",Lockouts
